tool,period,distance,time
motor,normal,2.9,7
car,normal,2.9,10
bike,normal,3.4,14
bike,normal,11,40
motor,normal,9.3,25
car,normal,11,26
car,normal,61,76
motor,normal,47,75
motor,normal,83,120
car,normal,61,56
car,normal,161,136
motor,normal,178,250
bike,normal,193,630
bike,normal,46,153
motor,normal,37,72
car,normal,44,53
car,normal,350,241
motor,normal,386,504
bike,normal,402,1318
bike,normal,86,283
motor,normal,76,131
motor,normal,2.6,8
car,normal,2.6,9
bike,normal,2.7,10
bike,normal,14,55
motor,normal,11,27
